id,provenance,provenance_id
0,St-Lambrecht,provenance_165
1,Germany,provenance_060
2,Lambach Abbey,provenance_081
3,Dominican,provenance_042
4,English,provenance_049
5,St. Gallen,provenance_174
6,Southern Germany / Austria,provenance_162
7,S. Orso,provenance_149
8,St. Martial,provenance_176
9,Italy,provenance_071
10,Zutphen,provenance_216
11,Tongeren,provenance_186
12,Roma,provenance_146
13,Albi,provenance_003
14,Kraków,provenance_077
15,St. Pölten,provenance_179
16,Marseille,provenance_094
17,Tavèrnoles,provenance_183
18,Quedlinburg,provenance_133
19,Augsburg,provenance_016
20,Piacenza,provenance_124
21,Aachen,provenance_001
22,Salamanca,provenance_151
23,Esztergom,provenance_051
24,Sens,provenance_160
25,Kielce,provenance_074
26,Chiavenna,provenance_035
27,Bamberg,provenance_019
28,Mainz,provenance_090
29,Toledo,provenance_185
30,Klosterneuburg,provenance_076
31,Pavia,provenance_123
32,Utrecht,provenance_196
33,Vorau,provenance_205
34,Zwiefalten,provenance_217
35,Worcester,provenance_211
36,Würzburg,provenance_213
37,Arras,provenance_014
38,Franciscan,provenance_146
39,Saint-Amand,provenance_150
40,Lubiąż,provenance_088
41,Jumièges,provenance_073
42,Cambrai,provenance_029
43,Einsiedeln,provenance_047
44,Hilwartshausen,provenance_068
45,Prüm,provenance_132
46,Firenze,provenance_052
47,Burgos (?),provenance_028
48,Rein,provenance_140
49,Salzinnes,provenance_153
50,Benevento,provenance_023
51,Poissy-St Louis,provenance_126
52,Wrocław,provenance_212
53,St-Maur-des-Fossés,provenance_167
54,Muenster,provenance_103
55,Pozzeveri,provenance_127
56,Barnwell,provenance_020
57,St. Taurin,provenance_180
58,Kirnberg,provenance_075
59,Kremsmünster,provenance_079
60,St-Florian,provenance_164
61,Venice,provenance_199
62,Tours,provenance_190
63,Vallombrosa,provenance_197
64,Weingarten,provenance_207
65,Wales,provenance_206
66,Kranj,provenance_078
67,Rasdorf,provenance_135
68,Metz,provenance_096
69,Rome,provenance_146
70,"Prague, St. George Monastery",provenance_129
71,Paris,provenance_121
72,Spain,provenance_163
73,Milan,provenance_097
74,Köln,provenance_080
75,MonteCassino,provenance_100
76,Bellelay Abbey,provenance_021
77,St-Martial,provenance_176
78,Amersfoort,provenance_006
79,Padova,provenance_119
80,Rupertsberg,provenance_148
81,Eichstätt,provenance_046
82,Germany (south),provenance_061
83,France,provenance_056
84,"France,  South ",provenance_057
85,Prague,provenance_128
86,Rajhrad,provenance_219
87,"Braga, Catedral",provenance_218
88,Płock,provenance_220
89,Staniątki,provenance_221
90,Pilsen,provenance_222
91,Cluny,provenance_223
92,Bratislava,provenance_224
93,Bohemia,provenance_225
94,Slovakia,provenance_226
95,Tyniec,provenance_227
96,St George's Convent in Prague,provenance_129
97,"Praha, klášter sv. Jiří",provenance_129
98,Huesca,provenance_228
99,Barbastro,provenance_229
100,Saint-Maur-des-Fossés,provenance_197
101,Rome (Roma),provenance_146
102,St George's Convent in Prague (?),provenance_129
103,Monasterio de Santa Cruz de la Serós (Huesca),provenance_230
104,St sauveur de Redon,provenance_231
105,Colegiata de Sant Feliu de Girona,provenance_232
106,Abbaye Saint-Corneille de Compiègne,provenance_233
107,Sant Cugat (Barcelona),provenance_234
108,Silos,provenance_235
109,Montecassino,provenance_100
110,St-Amand Abbey,provenance_150
111,"Aosta, Sant-Orso",provenance_149
112,Catedral de Vic (Barcelona),provenance_234
113,Santo Domingo de Silos,provenance_235
114,St Martial de Limoges,provenance_176
115,St. Martial de Limoges,provenance_176
116,San Juan de la Peña,provenance_236
117,Nevers,provenance_237
118,Tarazona,provenance_238
119,Cathédrale de Rouen,provenance_239
120,A l’usage de la cathédrale Notre-Dame de Laon,provenance_240
121,"Arouca, Mosteiro de Santa Maria",provenance_241
122,Coimbra,provenance_242
123,Saint-Sernin de Toulouse,provenance_243
124,Jacobins de la rue Saint-Jacques,provenance_121
125,Monasterio de San Salvador de Celanova (Ourense),provenance_244
126,Abbaye royale de Saint-Denis,provenance_121
127,St George's convent in Prague,provenance_129
128,Saint Yrieix,provenance_245
129,"Alcobaça, Mosteiro de Santa Maria?",provenance_246
130,Barcelona,provenance_234
131,Lubiń,provenance_247
132,Kolín,provenance_248
133,Cathédrale d'Arles; Colbert 1686; Regius 3880b,provenance_249
134,Convento de las clarisas de la Santísima Trinidad (Valencia),provenance_250
135,Auch,provenance_251
136,Latran,provenance_146
137,"Minden, pour l'usage de l'évêque Siegbert",provenance_252
138,Toledo (Catalunya). Procedente de la biblioteca de F. A. Barbieri,provenance_185
139,Canónica de Sant Martí Sacosta (Girona),provenance_253
140,"Monasterio de San Millán de la Cogolla, La Rioja.",provenance_254
141,St. Mary Church in Gdańsk,provenance_255
142,"Angleterre, Londres",provenance_256
143,Évora,provenance_257
