id,corpus_id,incipit,cantus_id,mode,finalis,differentia,siglum,position,folio,sequence,marginalia,cao_concordances,feast_code,genre_id,office_id,source_id,melody_id,drupal_path,full_text,full_text_manuscript,volpiano,notes,dataset_name,dataset_idx,image_link
,,Antime frater et levita,200324,7,,,I-Far,3.3,155r,,,,16001000,genre_a,M,http://cantusdatabase.org/source/123607,,,,,,,,,
,,In agone cruciatus dum sic ,202375,1,,,NL-Uu 406 (3 J 7),B,255v,,,,16001000,genre_a,L,http://cantusdatabase.org/source/123641,,,,,1---c---d--dh-k--h---hgf--g--gh--ihjh---f---g---h--gf--gh--h---f---f--g--h--g---fe--d--f7---fg--g---gh--f--gf--f---h--h--hk--h---hg--h--k---gf--g---h--fgf--f---fe---d---e--f7--gh--g---e--f---g--fe---d--d---4---h--h--hg--gf--gh--gh---3,,,,http://objects.library.uu.nl/reader/index.php?obj=1874-327915
,,Alto parentum sanguine,200240,1,,,A-Wda C-10,1,031r,,,,16001000,genre_a,M,http://cantusdatabase.org/source/123644,,,,,,,,,https://www.cantusplanus.at/common/rism.php?rism=A-WdaC10
,,Alto parentum sanguine,200240,1,,,D-AAm G 20,1.1,379v,,,,16001000,genre_a,M,http://cantusdatabase.org/source/123714,,,,,,,,,
,,Alto parentum sanguine Gregorius Italiae ,200240,1,,,NL-Uu 406 (3 J 7),,142r,,,,14073000,genre_a,V,http://cantusdatabase.org/source/123641,,,,,1---cD--d---dc--d--fe---ddfd--cd--d---4---d--dc--f--gh---hgf--g--gh--h7---hk--l--k--lnl---k---ijh--gh--h---dH---hgF--f---gh--fed---efd--cd--d---3,,,,http://objects.library.uu.nl/reader/index.php?obj=1874-327915
,,Alto parentum sanguine*,200240,1,,,NL-Uu 406 (3 J 7),1,144r,,,,16001000,genre_a,V,http://cantusdatabase.org/source/123641,,,,,1---jK--k---kj--k--ml---kkmk--jk--k---3,,,,http://objects.library.uu.nl/reader/index.php?obj=1874-327915
,,Alto parentum sanguine Servatius Armeniae ,200240,1,,,NL-Uu 406 (3 J 7),1.1,144r,,,,16001000,genre_a,M,http://cantusdatabase.org/source/123641,,,,,1---d--d---dc--d--fe---dfd--cd--d---dC--f--gh--h---hgg--g--gh--h---hk--l--k--lnl---k---ijh--gh--h---3---dH---h-hgF--f---gh--fed---efd77--cd--dc---d--fe--d--d---4,,,,http://objects.library.uu.nl/reader/index.php?obj=1874-327915
,,Sancta Maria genetrix dei virgo ,204386,6,,,F-CA 38,3,325v,,,,16001000,genre_a,V,http://cantusdatabase.org/source/123601,,,,,,,,,
,,Sancta Maria genetrix dei,204386,6,,,F-CA Impr. XVI C 4,3,169v,,,,16001000,genre_a,V,http://cantusdatabase.org/source/123602,,,,,,,,,
,,Sancta Maria*,204386,*,,,F-CA Impr. XVI C 4,2M,244r,,,,14042310,genre_a,V,http://cantusdatabase.org/source/123602,,,,,,,,,
,,Hoc modo Christi servus plagatus ,202211,5,,,CH-E 611,5,167r,,,,14042310,genre_a,Lu,http://cantusdatabase.org/source/123606,,,,,1---fg---fhk--ln---n--l---kl--h---gf-klk--hk--k---kijh---h--g7---h--g--f---gh--gh--f--f---f---f---g--h---ijhgg--g--fh--h7---klm--ml--k--k---m--no--nm---mlk--k7---k--k--l---k--j--h---h--gh--j--gf---gh--gh--f--f---4---k--k--l--ij--k--h7---3,,,,http://www.e-codices.unifr.ch/en/sbe/0611/167r/small
,,Hoc modo*,202211,5,,,CH-E 611,4,167v,,,,16001000,genre_a,,http://cantusdatabase.org/source/toy,,,,,1---fg---fhk--ln---3,,,,http://www.e-codices.unifr.ch/en/sbe/0611/167v/small
