,drupal_path,title,siglum,century,num_century,provenance_id
0,http://cantus.uwaterloo.ca/source/123595,"Benevento, Archivio Capitolare, V 19",I-BV V 19,12th century,12,provenance_023
1,http://cantus.uwaterloo.ca/source/123606,"Einsiedeln, Kloster Einsiedeln - Musikbibliothek, 611",CH-E 611,14th century,14,provenance_047
2,http://cantus.uwaterloo.ca/source/123750,"Sankt Gallen, Stiftsbibliothek, 388",CH-SGs 388,12th century,12,provenance_174
3,http://cantus.uwaterloo.ca/source/123718,"Sankt Gallen, Stiftsbibliothek, 391",CH-SGs 391,10th century,10,provenance_174
4,http://cantus.uwaterloo.ca/source/123688,"Berlin, Staatsbibliothek zu Berlin Preußischer Kulturbesitz, Mus. 40047",D-B Mus. 40047,11th century,11,provenance_133
5,http://cantus.uwaterloo.ca/source/123607,"Firenze (Florence), Arcivescovado - Biblioteca, s.c.",I-Far,12th century,12,provenance_052
6,http://cantus.uwaterloo.ca/source/123608,"Firenze (Florence), Biblioteca Medicea-Laurenziana, Conv. sopp. 560",I-Fl Conv. sopp. 560,12th century,12,provenance_197
7,http://cantus.uwaterloo.ca/source/123623,"Mainz, Bischöfliches Dom- und Diözesanmuseum, D",D-MZb D,15th century (1425-1450),15,provenance_090
8,http://cantus.uwaterloo.ca/source/123673,"München, Franziskanerkloster St. Anna - Bibliothek, 12o Cmm 1",D-Ma 12o Cmm 1,13th century (1225-1250),13,provenance_071
9,http://cantus.uwaterloo.ca/source/123683,"München, Bayerische Staatsbibliothek, Clm 4305",D-Mbs Clm 4305,15th century (1450-1475),15,provenance_016
10,http://cantus.uwaterloo.ca/source/123684,"München, Bayerische Staatsbibliothek, Clm 4306",D-Mbs Clm 4306,16th century (1500-1525),16,provenance_016
11,http://cantus.uwaterloo.ca/source/123716,"Wolfenbüttel, Herzog August Bibliothek - Cod. Guelf. 28 Helmst. (Heinemann-Nr. 31)",D-W 28 Helmst.,16th century (1500-1525),16,provenance_068
12,http://cantus.uwaterloo.ca/source/123651,"Salamanca, Catedral - Archivo Musical, 7",E-SA 7,14th century,14,provenance_151
13,http://cantus.uwaterloo.ca/source/123638,"Toledo, Catedral - Archivo y Biblioteca Capítulares, 44.1",E-Tc 44.1,11th century (1000-1025),11,provenance_183
14,http://cantus.uwaterloo.ca/source/123639,"Toledo, Catedral - Archivo y Biblioteca Capítulares, 44.2",E-Tc 44.2,11th century (1075-1100),11,provenance_185
15,http://cantus.uwaterloo.ca/source/123627,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 1090",F-Pn Lat. 1090,12th century (1175-1200),12,provenance_094
16,http://cantus.uwaterloo.ca/source/123630,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 12601",F-Pn Lat. 12601,11th century (1075-1100),11,provenance_180
17,http://cantus.uwaterloo.ca/source/123642,"Valenciennes, Bibliothèque municipale, 114",F-VAL 114,12th century,12,
18,http://cantus.uwaterloo.ca/source/123592,"Aberystwyth, Llyfrgell Genedlaethol Cymru (National Library of Wales), 20541 E",GB-AB 20541 E,14th century (1300-1325),14,provenance_206
19,http://cantus.uwaterloo.ca/source/123603,"Cambridge, University Library, Mm.ii.9",GB-Cu Mm.ii.9,13th century,13,provenance_020
20,http://cantus.uwaterloo.ca/source/123647,"Worcester, Cathedral - Music Library, F.160 (olim 1247) (with hymnal)",GB-WO F.160,13th century (1225-1250),13,provenance_211
21,http://cantus.uwaterloo.ca/source/123646,"Worcester, Cathedral - Music Library, F.160 (olim 1247) (facsimile)",GB-WO F.160 (Facs),13th century (1225-1250),13,provenance_211
22,http://cantus.uwaterloo.ca/source/123599,"Budapest, Egyetemi Könyvtár (University Library), lat. 121",H-Bu lat. 121,14th century,14,provenance_058
23,http://cantus.uwaterloo.ca/source/123721,"Dubrovnik, Franjevački Samostan (Franciscan Monastery), Cod. E Nr. 3",HR-Hf Cod. E,15th century (2nd half),15,provenance_199
24,http://cantus.uwaterloo.ca/source/123670,"Assisi, Biblioteca comunale, 693",I-Ac 693,13th century,13,provenance_071
25,http://cantus.uwaterloo.ca/source/123669,"Assisi, Biblioteca comunale, 694",I-Ac 694,13th century,13,provenance_071
26,http://cantus.uwaterloo.ca/source/123675,"Assisi, Cattedrale San Rufino - Archivio e Biblioteca, 5",I-Ad 5,13th century (1225-1250),13,provenance_071
27,http://cantus.uwaterloo.ca/source/123674,"Napoli, Biblioteca nazionale Vittorio Emanuele III, vi. E. 20",I-Nn vi.E.20,13th century,13,provenance_071
28,http://cantus.uwaterloo.ca/source/123635,"Roma, Biblioteca Vallicelliana, C.5",I-Rv C.5,11th century,11,
29,http://cantus.uwaterloo.ca/source/123641,"Utrecht, Universiteitsbibliotheek, Ms. 406 (shelfmark 3 J 7)",NL-Uu 406 (3 J 7),12th century,12,provenance_196
30,http://cantus.uwaterloo.ca/source/123648,"Zutphen, Stadsarchief en Stedelijke Bibliotheek, 6",NL-ZUa 6,15th century,15,provenance_216
31,http://cantus.uwaterloo.ca/source/599679,"Wellington (New Zealand), The Alexander Turnbull Library - Rare Books, MSR-03",NZ-Wt MSR-03,15th century (2nd half),15,provenance_006
32,http://cantus.uwaterloo.ca/source/656252,"Franciscan antiphoner, John J. Burns Library, Boston College MS.1996.097",US-CHNbcbl 097,14th century (1st half),14,provenance_058
33,http://cantus.uwaterloo.ca/source/123671,"Chicago, Newberry Library, 24",US-Cn 24,13th century,13,provenance_071
34,http://cantus.uwaterloo.ca/source/123661,"Città del Vaticano (Roma), Biblioteca Apostolica Vaticana, San Pietro B.79",V-CVbav B.79,12th century,12,
35,http://pemdatabase.eu/source/48438,P-BRs (Braga) Arquivo da Sé Ms. 028,P-BRs Ms. 028,16th century (first quarter),16,
36,http://cantus.ispan.pl/source/14458,"PL-PŁsem MsEPl 15 Antyfonarz z Płocka, pars de sanctis",MsEPl 15,15th century,15,
37,http://cantus.ispan.pl/source/22280,PL-STAb 4 Antiphonarium,ms. 4,16th century,16,
38,http://cantus.uwaterloo.ca/source/123611,"Graz, Universitätsbibliothek, 30 (olim 38/9 f.)",A-Gu 30,14th century,14,provenance_165
39,http://cantus.uwaterloo.ca/source/123613,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 1012",A-KN 1012,12th century,12,provenance_076
40,http://cantus.uwaterloo.ca/source/123616,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 1018",A-KN 1018,14th century,14,provenance_076
41,http://cantus.uwaterloo.ca/source/123656,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 589",A-KN 589,14th century,14,provenance_076
42,http://cantus.uwaterloo.ca/source/123660,"Kremsmünster, Benediktiner-Stift Kremsmünster - Musikarchiv, Schachtel VI/258",A-KR VI/258,13th century (2nd half),13,provenance_179
