,drupal_path,title,provenance,siglum,num_century,century,cursus,provenance_id
0,http://cantusdatabase.org/source/123595,"Benevento, Archivio Capitolare, V 19",Benevento,I-BV V 19,12,12th century,Secular,provenance_023
1,http://cantusdatabase.org/source/123606,"Einsiedeln, Kloster Einsiedeln - Musikbibliothek, 611",Einsiedeln,CH-E 611,14,14th century,Monastic,provenance_047
2,http://cantusdatabase.org/source/123750,"Sankt Gallen, Stiftsbibliothek, 388",St. Gallen,CH-SGs 388,12,12th century,Unknown,provenance_174
3,http://cantusdatabase.org/source/123718,"Sankt Gallen, Stiftsbibliothek, 391",St. Gallen,CH-SGs 391,10,10th century,Monastic,provenance_174
4,http://cantusdatabase.org/source/123688,"Berlin, Staatsbibliothek zu Berlin Preußischer Kulturbesitz, Mus. 40047",Quedlinburg,D-B Mus. 40047,11,11th century,Secular,provenance_133
5,http://cantusdatabase.org/source/123607,"Firenze (Florence), Arcivescovado - Biblioteca, s.c.",Firenze,I-Far,12,12th century,Secular,provenance_052
6,http://cantusdatabase.org/source/123608,"Firenze (Florence), Biblioteca Medicea-Laurenziana, Conv. sopp. 560",Vallombrosa,I-Fl Conv. sopp. 560,12,12th century,Monastic,provenance_197
7,http://cantusdatabase.org/source/123672,"Fribourg, Bibliothèque des Cordeliers, Ms. 2",Franciscan,CH-Fco Ms. 2,unknown,unknown,Secular,provenance_146
8,http://cantusdatabase.org/source/123623,"Mainz, Bischöfliches Dom- und Diözesanmuseum, D",Mainz,D-MZb D,15,15th century (1425-1450),Secular,provenance_090
9,http://cantusdatabase.org/source/123673,"München, Franziskanerkloster St. Anna - Bibliothek, 12o Cmm 1",Italy,D-Ma 12o Cmm 1,13,13th century (1225-1250),Secular,provenance_071
10,http://cantusdatabase.org/source/123683,"München, Bayerische Staatsbibliothek, Clm 4305",Augsburg,D-Mbs Clm 4305,15,15th century (1450-1475),Monastic,provenance_016
11,http://cantusdatabase.org/source/123684,"München, Bayerische Staatsbibliothek, Clm 4306",Augsburg,D-Mbs Clm 4306,16,16th century (1500-1525),Monastic,provenance_016
12,http://cantusdatabase.org/source/123716,"Wolfenbüttel, Herzog August Bibliothek - Cod. Guelf. 28 Helmst. (Heinemann-Nr. 31)",Hilwartshausen,D-W 28 Helmst.,16,16th century (1500-1525),Secular,provenance_068
13,http://cantusdatabase.org/source/123651,"Salamanca, Catedral - Archivo Musical, 7",Salamanca,E-SA 7,14,14th century,Secular,provenance_151
14,http://cantusdatabase.org/source/123638,"Toledo, Catedral - Archivo y Biblioteca Capítulares, 44.1",Tavèrnoles,E-Tc 44.1,11,11th century (1000-1025),Secular,provenance_183
15,http://cantusdatabase.org/source/123639,"Toledo, Catedral - Archivo y Biblioteca Capítulares, 44.2",Toledo,E-Tc 44.2,11,11th century (1075-1100),Secular,provenance_185
16,http://cantusdatabase.org/source/123627,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 1090",Marseille,F-Pn Lat. 1090,12,12th century (1175-1200),Secular,provenance_094
17,http://cantusdatabase.org/source/123630,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 12601",St. Taurin,F-Pn Lat. 12601,11,11th century (1075-1100),Monastic,provenance_180
18,http://cantusdatabase.org/source/123642,"Valenciennes, Bibliothèque municipale, 114",St-Amand Abbey,F-VAL 114,12,12th century,Monastic,provenance_150
19,http://cantusdatabase.org/source/123592,"Aberystwyth, Llyfrgell Genedlaethol Cymru (National Library of Wales), 20541 E",Wales,GB-AB 20541 E,14,14th century (1300-1325),Secular,provenance_206
20,http://cantusdatabase.org/source/123603,"Cambridge, University Library, Mm.ii.9",Barnwell,GB-Cu Mm.ii.9,13,13th century,Secular,provenance_020
21,http://cantusdatabase.org/source/123647,"Worcester, Cathedral - Music Library, F.160 (olim 1247) (with hymnal)",Worcester,GB-WO F.160,13,13th century (1225-1250),Monastic,provenance_211
22,http://cantusdatabase.org/source/123646,"Worcester, Cathedral - Music Library, F.160 (olim 1247) (facsimile)",Worcester,GB-WO F.160 (Facs),13,13th century (1225-1250),Monastic,provenance_211
23,http://cantusdatabase.org/source/123599,"Budapest, Egyetemi Könyvtár (University Library), lat. 121",Franciscan,H-Bu lat. 121,14,14th century,Secular,provenance_146
24,http://cantusdatabase.org/source/123721,"Dubrovnik, Franjevački Samostan (Franciscan Monastery), Cod. E Nr. 3",Venice,HR-Hf Cod. E,15,15th century (2nd half),Secular,provenance_199
