id,title,siglum,description,rism,date,century,provenance,provenance_detail,segment,summary,indexing_notes,liturgical_occasions,indexing_date,drupal_path,cursus,image_link,n_cantus_chants,n_cantus_melodies
0,"Benevento, Archivio Capitolare, V 19",I-BV V 19,,,,12th century,Benevento,,,,,,,http://cantusdatabase.org/source/123595,Secular,,,
1,"Einsiedeln, Kloster Einsiedeln - Musikbibliothek, 611",CH-E 611,,,,14th century,Einsiedeln,,,,,,,http://cantusdatabase.org/source/123606,Monastic,,,
2,"Sankt Gallen, Stiftsbibliothek, 388",CH-SGs 388,,,,12th century,St. Gallen,,,,,,,http://cantusdatabase.org/source/123750,,,,
3,"Sankt Gallen, Stiftsbibliothek, 391",CH-SGs 391,,,,10th century,St. Gallen,,,,,,,http://cantusdatabase.org/source/123718,Monastic,,,
4,"Berlin, Staatsbibliothek zu Berlin Preußischer Kulturbesitz, Mus. 40047",D-B Mus. 40047,,,,11th century,Quedlinburg,,,,,,,http://cantusdatabase.org/source/123688,Secular,,,
5,"Firenze (Florence), Arcivescovado - Biblioteca, s.c.",I-Far,,,,12th century,Firenze,,,,,,,http://cantusdatabase.org/source/123607,Secular,,,
6,"Firenze (Florence), Biblioteca Medicea-Laurenziana, Conv. sopp. 560",I-Fl Conv. sopp. 560,,,,12th century,Vallombrosa,,,,,,,http://cantusdatabase.org/source/123608,Monastic,,,
7,The Poissy Antiphonal,AUS-Msl 096.1/R66A,,,,,"Poissy, Saint-Louis",,,,,,,http://cantus.uwaterloo.ca/source/123745,,,,
8,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0018",CDN-Mlr MS Medieval 0018,,,,,English,,,,,,,http://cantus.uwaterloo.ca/source/675683,,,,
9,"Fribourg, Bibliothèque des Cordeliers, Ms. 2",CH-Fco Ms. 2,,,,,Franciscan,,,,,,,http://cantusdatabase.org/source/123672,Secular,,,
10,"Mainz, Bischöfliches Dom- und Diözesanmuseum, D",D-MZb D,,,,15th century (1425-1450),Mainz,,,,,,,http://cantusdatabase.org/source/123623,Secular,,,
11,"München, Franziskanerkloster St. Anna - Bibliothek, 12o Cmm 1",D-Ma 12o Cmm 1,,,,13th century (1225-1250),Italy,,,,,,,http://cantusdatabase.org/source/123673,Secular,,,
12,"München, Bayerische Staatsbibliothek, Clm 4305",D-Mbs Clm 4305,,,,15th century (1450-1475),Augsburg,,,,,,,http://cantusdatabase.org/source/123683,Monastic,,,
13,"München, Bayerische Staatsbibliothek, Clm 4306",D-Mbs Clm 4306,,,,16th century (1500-1525),Augsburg,,,,,,,http://cantusdatabase.org/source/123684,Monastic,,,
14,"Wolfenbüttel, Herzog August Bibliothek - Cod. Guelf. 28 Helmst. (Heinemann-Nr. 31)",D-W 28 Helmst.,,,,16th century (1500-1525),Hilwartshausen,,,,,,,http://cantusdatabase.org/source/123716,Secular,,,
15,"Salamanca, Catedral - Archivo Musical, 7",E-SA 7,,,,14th century,Salamanca,,,,,,,http://cantusdatabase.org/source/123651,Secular,,,
